host,guest,odds,result
圣安东尼奥马刺,新奥尔良鹈鹕,-12.5,赢

印第安纳步行者,华盛顿奇才,-5.5,输

明尼苏达森林狼,菲尼克斯太阳,-5.5,赢

俄克拉荷马雷霆,亚特兰大老鹰,-2.5,输

芝加哥公牛,底特律活塞,-2.5,赢

丹佛掘金,达拉斯独行侠,-8.5,赢

费城76人,新奥尔良鹈鹕,3.5,输

夏洛特黄蜂,洛杉矶湖人,-8.5,输

多伦多猛龙,布鲁克林篮网队,-15.5,输

纽约尼克斯,印第安纳步行者,-5.5,赢

迈阿密热火,奥兰多魔术,-2.5,输

休斯顿火箭,圣安东尼奥马刺,0.0,输

孟菲斯灰熊,波士顿凯尔特人,2.5,输

密尔沃基雄鹿,克里夫兰骑士,3.5,输

金州勇士,犹他爵士,-11.5,赢

洛杉矶快船,丹佛掘金,-8.5,赢

萨克拉门托国王,波特兰开拓者,0.0,赢

克里夫兰骑士,密尔沃基雄鹿,-5.5,赢

亚特兰大老鹰,明尼苏达森林狼,-3.5,输

底特律活塞,孟菲斯灰熊,-6.5,输

芝加哥公牛,华盛顿奇才,-4.5,输

新奥尔良鹈鹕,俄克拉荷马雷霆,1.5,输

犹他爵士,萨克拉门托国王,-6.5,输

菲尼克斯太阳,休斯顿火箭,6.5,输

波特兰开拓者,达拉斯独行侠,-5.5,输

布鲁克林篮网队,金州勇士,12.5,输

纽约尼克斯,奥兰多魔术,-5.5,赢

迈阿密热火,洛杉矶湖人,-4.5,赢

印第安纳步行者,波士顿凯尔特人,0.0,输

洛杉矶快船,圣安东尼奥马刺,1.5,赢

夏洛特黄蜂,芝加哥公牛,-4.5,赢

奥兰多魔术,洛杉矶湖人,-5.5,赢

克里夫兰骑士,布鲁克林篮网队,-15.5,赢

波士顿凯尔特人,俄克拉荷马雷霆,-4.5,输

底特律活塞,金州勇士,7.5,赢

明尼苏达森林狼,萨克拉门托国王,-4.5,输

密尔沃基雄鹿,华盛顿奇才,-2.5,赢

新奥尔良鹈鹕,迈阿密热火,-5.5,输

孟菲斯灰熊,休斯顿火箭,3.5,赢

犹他爵士,多伦多猛龙,1.5,输

菲尼克斯太阳,费城76人,-4.5,赢

丹佛掘金,亚特兰大老鹰,-4.5,输

波特兰开拓者,圣安东尼奥马刺,2.5,输

洛杉矶快船,达拉斯独行侠,-4.5,输

纽约尼克斯,波士顿凯尔特人,2.5,输

克里夫兰骑士,金州勇士,2.5,赢

圣安东尼奥马刺,芝加哥公牛,-9.5,赢

俄克拉荷马雷霆,明尼苏达森林狼,-3.5,赢

洛杉矶湖人,洛杉矶快船,3.5,赢

华盛顿奇才,密尔沃基雄鹿,-3.5,赢

奥兰多魔术,孟菲斯灰熊,2.5,赢

布鲁克林篮网队,夏洛特黄蜂,6.5,赢

底特律活塞,克里夫兰骑士,-4.5,赢

明尼苏达森林狼,亚特兰大老鹰,0.0,赢

芝加哥公牛,印第安纳步行者,-1.5,赢

休斯顿火箭,菲尼克斯太阳,-13.5,赢

新奥尔良鹈鹕,达拉斯独行侠,-3.5,赢

波特兰开拓者,多伦多猛龙,6.5,赢

萨克拉门托国王,费城76人,-8.5,输

洛杉矶快船,丹佛掘金,3.5,输

迈阿密热火,俄克拉荷马雷霆,3.5,输

波士顿凯尔特人,孟菲斯灰熊,-6.5,赢

达拉斯独行侠,休斯顿火箭,5.5,输

洛杉矶湖人,犹他爵士,4.5,赢

华盛顿奇才,印第安纳步行者,-4.5,赢

奥兰多魔术,夏洛特黄蜂,3.5,输

亚特兰大老鹰,纽约尼克斯,-4.5,输

底特律活塞,密尔沃基雄鹿,-3.5,输

新奥尔良鹈鹕,洛杉矶快船,-1.5,赢

芝加哥公牛,布鲁克林篮网队,-9.5,输

圣安东尼奥马刺,菲尼克斯太阳,-12.5,赢

丹佛掘金,明尼苏达森林狼,-3.5,输

波特兰开拓者,萨克拉门托国王,0.0,赢

金州勇士,多伦多猛龙,-9.5,赢

夏洛特黄蜂,迈阿密热火,-5.5,赢

克里夫兰骑士,波士顿凯尔特人,-5.5,赢

孟菲斯灰熊,俄克拉荷马雷霆,-2.5,赢

犹他爵士,费城76人,-13.5,赢

菲尼克斯太阳,多伦多猛龙,8.5,赢

洛杉矶湖人,达拉斯独行侠,-3.5,输

印第安纳步行者,芝加哥公牛,-4.5,赢

华盛顿奇才,布鲁克林篮网队,-8.5,赢

波士顿凯尔特人,迈阿密热火,-8.5,输

新奥尔良鹈鹕,纽约尼克斯,-2.5,赢

亚特兰大老鹰,底特律活塞,-3.5,赢

明尼苏达森林狼,密尔沃基雄鹿,-1.5,赢

休斯顿火箭,洛杉矶快船,-9.5,赢

圣安东尼奥马刺,波特兰开拓者,-10.5,赢

丹佛掘金,费城76人,-11.5,输

金州勇士,达拉斯独行侠,-17.5,输

萨克拉门托国王,孟菲斯灰熊,0.0,输

夏洛特黄蜂,克里夫兰骑士,3.5,输

芝加哥公牛,密尔沃基雄鹿,-4.5,输

犹他爵士,菲尼克斯太阳,-12.5,输

俄克拉荷马雷霆,洛杉矶快船,-9.5,赢

休斯顿火箭,纽约尼克斯,-13.5,输

迈阿密热火,底特律活塞,6.5,输

印第安纳步行者,奥兰多魔术,-5.5,赢

亚特兰大老鹰,圣安东尼奥马刺,4.5,赢

明尼苏达森林狼,波特兰开拓者,-5.5,输

洛杉矶湖人,多伦多猛龙,8.5,输

密尔沃基雄鹿,俄克拉荷马雷霆,-1.5,赢

克里夫兰骑士,新奥尔良鹈鹕,-9.5,输

纽约尼克斯,奥兰多魔术,-4.5,输

布鲁克林篮网队,犹他爵士,6.5,输

休斯顿火箭,华盛顿奇才,-8.5,赢

芝加哥公牛,夏洛特黄蜂,1.5,赢

洛杉矶快船,菲尼克斯太阳,-4.5,赢

金州勇士,丹佛掘金,-14.5,输

费城76人,明尼苏达森林狼,3.5,赢

波士顿凯尔特人,犹他爵士,-5.5,赢

底特律活塞,印第安纳步行者,-5.5,输

圣安东尼奥马刺,多伦多猛龙,-5.5,赢

达拉斯独行侠,华盛顿奇才,-1.5,赢

丹佛掘金,萨克拉门托国王,-2.5,输

菲尼克斯太阳,迈阿密热火,-5.5,赢

洛杉矶湖人,孟菲斯灰熊,6.5,赢

奥兰多魔术,亚特兰大老鹰,3.5,输

夏洛特黄蜂,俄克拉荷马雷霆,-1.5,赢

纽约尼克斯,密尔沃基雄鹿,1.5,赢

克里夫兰骑士,芝加哥公牛,-3.5,输

萨克拉门托国王,迈阿密热火,-8.5,输

金州勇士,波特兰开拓者,-15.5,输

洛杉矶快船,孟菲斯灰熊,0.0,赢

印第安纳步行者,布鲁克林篮网队,-9.5,赢

底特律活塞,夏洛特黄蜂,-6.5,输

多伦多猛龙,犹他爵士,-4.5,赢

休斯顿火箭,俄克拉荷马雷霆,-8.5,输

新奥尔良鹈鹕,亚特兰大老鹰,-2.5,输

达拉斯独行侠,菲尼克斯太阳,-4.5,输

波特兰开拓者,洛杉矶湖人,-7.5,赢

丹佛掘金,圣安东尼奥马刺,6.5,输

奥兰多魔术,休斯顿火箭,5.5,输

华盛顿奇才,明尼苏达森林狼,-4.5,赢

布鲁克林篮网队,克里夫兰骑士,12.5,赢

波士顿凯尔特人,费城76人,-11.5,输

密尔沃基雄鹿,纽约尼克斯,-5.5,输

洛杉矶湖人,迈阿密热火,-2.5,赢

萨克拉门托国王,洛杉矶快船,3.5,输

金州勇士,孟菲斯灰熊,-12.5,输

印第安纳步行者,纽约尼克斯,-6.5,赢

波士顿凯尔特人,新奥尔良鹈鹕,-6.5,赢

芝加哥公牛,多伦多猛龙,2.5,赢

明尼苏达森林狼,犹他爵士,3.5,赢

俄克拉荷马雷霆,丹佛掘金,-6.5,赢

圣安东尼奥马刺,夏洛特黄蜂,-10.5,赢

达拉斯独行侠,亚特兰大老鹰,1.5,输

布鲁克林篮网队,费城76人,-1.5,输

洛杉矶快船,迈阿密热火,-10.5,赢

密尔沃基雄鹿,华盛顿奇才,1.5,输

多伦多猛龙,休斯顿火箭,3.5,输

孟菲斯灰熊,犹他爵士,-3.5,赢

菲尼克斯太阳,克里夫兰骑士,8.5,赢

波特兰开拓者,底特律活塞,-3.5,输

萨克拉门托国王,金州勇士,10.5,输

洛杉矶湖人,奥兰多魔术,-3.5,赢

纽约尼克斯,新奥尔良鹈鹕,-3.5,输

明尼苏达森林狼,达拉斯独行侠,-3.5,赢

芝加哥公牛,俄克拉荷马雷霆,1.5,输

华盛顿奇才,芝加哥公牛,-10.5,输

多伦多猛龙,波士顿凯尔特人,-4.5,赢

布鲁克林篮网队,亚特兰大老鹰,7.5,输

休斯顿火箭,夏洛特黄蜂,-10.5,输

圣安东尼奥马刺,密尔沃基雄鹿,-9.5,输

犹他爵士,克里夫兰骑士,2.5,赢

金州勇士,迈阿密热火,-14.5,输

洛杉矶湖人,波特兰开拓者,1.5,输

萨克拉门托国王,底特律活塞,-3.5,赢

费城76人,纽约尼克斯,1.5,赢

波士顿凯尔特人,华盛顿奇才,-5.5,赢

明尼苏达森林狼,休斯顿火箭,2.5,赢

俄克拉荷马雷霆,孟菲斯灰熊,-4.5,赢

洛杉矶快船,奥兰多魔术,-11.5,输

波特兰开拓者,克里夫兰骑士,7.5,赢

丹佛掘金,印第安纳步行者,4.5,赢

布鲁克林篮网队,新奥尔良鹈鹕,5.5,输

纽约尼克斯,芝加哥公牛,-3.5,赢

圣安东尼奥马刺,洛杉矶湖人,-14.5,赢

菲尼克斯太阳,达拉斯独行侠,3.5,输

金州勇士,底特律活塞,-14.5,赢

费城76人,夏洛特黄蜂,4.5,赢

多伦多猛龙,布鲁克林篮网队,-14.5,赢

亚特兰大老鹰,波士顿凯尔特人,-2.5,输

密尔沃基雄鹿,迈阿密热火,-6.5,赢

明尼苏达森林狼,俄克拉荷马雷霆,3.5,赢

休斯顿火箭,孟菲斯灰熊,-7.5,输

波特兰开拓者,奥兰多魔术,-7.5,输

犹他爵士,底特律活塞,-11.5,赢

萨克拉门托国王,克里夫兰骑士,8.5,输

洛杉矶快船,洛杉矶湖人,-12.5,赢

芝加哥公牛,新奥尔良鹈鹕,-3.5,赢

菲尼克斯太阳,圣安东尼奥马刺,12.5,赢

华盛顿奇才,费城76人,-8.5,赢

犹他爵士,奥兰多魔术,-10.5,输

亚特兰大老鹰,密尔沃基雄鹿,-4.5,赢

多伦多猛龙,纽约尼克斯,-11.5,赢

达拉斯独行侠,明尼苏达森林狼,-1.5,赢

布鲁克林篮网队,休斯顿火箭,15.5,输

萨克拉门托国王,俄克拉荷马雷霆,1.5,输

孟菲斯灰熊,芝加哥公牛,-7.5,输

洛杉矶湖人,底特律活塞,1.5,输

纽约尼克斯,亚特兰大老鹰,3.5,赢

华盛顿奇才,波特兰开拓者,-4.5,赢

密尔沃基雄鹿,费城76人,-9.5,输

印第安纳步行者,新奥尔良鹈鹕,-4.5,输

丹佛掘金,奥兰多魔术,-5.5,赢

波士顿凯尔特人,夏洛特黄蜂,-4.5,赢

金州勇士,克里夫兰骑士,-7.5,赢

菲尼克斯太阳,犹他爵士,4.5,输

洛杉矶快船,俄克拉荷马雷霆,-9.5,赢

布鲁克林篮网队,多伦多猛龙,10.5,赢

迈阿密热火,休斯顿火箭,6.5,赢

芝加哥公牛,达拉斯独行侠,-4.5,输

圣安东尼奥马刺,明尼苏达森林狼,-10.5,输

洛杉矶湖人,丹佛掘金,2.5,输

夏洛特黄蜂,波特兰开拓者,-4.5,赢

费城76人,多伦多猛龙,4.5,赢

华盛顿奇才,孟菲斯灰熊,-2.5,赢

波士顿凯尔特人,纽约尼克斯,-8.5,输

底特律活塞,亚特兰大老鹰,1.5,赢

新奥尔良鹈鹕,奥兰多魔术,-3.5,赢

休斯顿火箭,密尔沃基雄鹿,-7.5,赢

萨克拉门托国王,印第安纳步行者,-1.5,输

金州勇士,俄克拉荷马雷霆,-12.5,赢

克里夫兰骑士,菲尼克斯太阳,-11.5,赢

迈阿密热火,达拉斯独行侠,-1.5,赢

纽约尼克斯,华盛顿奇才,1.5,输

圣安东尼奥马刺,丹佛掘金,-11.5,赢

洛杉矶快船,明尼苏达森林狼,2.5,输

奥兰多魔术,密尔沃基雄鹿,2.5,赢

费城76人,波特兰开拓者,0.0,赢

夏洛特黄蜂,多伦多猛龙,-1.5,赢

新奥尔良鹈鹕,布鲁克林篮网队,-9.5,输

亚特兰大老鹰,芝加哥公牛,-4.5,赢

孟菲斯灰熊,萨克拉门托国王,-7.5,赢

休斯顿火箭,金州勇士,4.5,输

达拉斯独行侠,犹他爵士,6.5,赢

洛杉矶湖人,印第安纳步行者,4.5,赢

波士顿凯尔特人,波特兰开拓者,-8.5,输

底特律活塞,华盛顿奇才,-3.5,输

亚特兰大老鹰,费城76人,-12.5,赢

夏洛特黄蜂,布鲁克林篮网队,-13.5,输

迈阿密热火,密尔沃基雄鹿,0.0,赢

纽约尼克斯,菲尼克斯太阳,-5.5,输

孟菲斯灰熊,休斯顿火箭,0.0,输

克里夫兰骑士,圣安东尼奥马刺,-1.5,输

芝加哥公牛,萨克拉门托国王,-5.5,输

丹佛掘金,洛杉矶快船,-3.5,赢

犹他爵士,印第安纳步行者,-6.5,赢

奥兰多魔术,金州勇士,14.5,输

达拉斯独行侠,洛杉矶湖人,-6.5,赢

多伦多猛龙,菲尼克斯太阳,-10.5,输

明尼苏达森林狼,丹佛掘金,-4.5,输

夏洛特黄蜂,华盛顿奇才,-4.5,输

底特律活塞,萨克拉门托国王,-5.5,输

迈阿密热火,金州勇士,12.5,赢

亚特兰大老鹰,洛杉矶快船,-6.5,输

布鲁克林篮网队,圣安东尼奥马刺,9.5,输

密尔沃基雄鹿,休斯顿火箭,6.5,赢

新奥尔良鹈鹕,克里夫兰骑士,10.5,赢

印第安纳步行者,纽约尼克斯,-6.5,输

犹他爵士,俄克拉荷马雷霆,-5.5,输

费城76人,洛杉矶快船,5.5,赢

奥兰多魔术,芝加哥公牛,4.5,输

华盛顿奇才,波士顿凯尔特人,-2.5,赢

多伦多猛龙,圣安东尼奥马刺,-3.5,输

丹佛掘金,犹他爵士,-4.5,赢

菲尼克斯太阳,明尼苏达森林狼,0.0,输

克里夫兰骑士,萨克拉门托国王,-12.5,输

波士顿凯尔特人,休斯顿火箭,3.5,赢

布鲁克林篮网队,迈阿密热火,4.5,赢

夏洛特黄蜂,金州勇士,10.5,赢

新奥尔良鹈鹕,俄克拉荷马雷霆,3.5,输

芝加哥公牛,亚特兰大老鹰,2.5,输

密尔沃基雄鹿,费城76人,-10.5,输

孟菲斯灰熊,多伦多猛龙,-5.5,输

达拉斯独行侠,纽约尼克斯,-4.5,赢

波特兰开拓者,洛杉矶湖人,-9.5,输

明尼苏达森林狼,印第安纳步行者,-4.5,输

俄克拉荷马雷霆,达拉斯独行侠,-10.5,赢

丹佛掘金,菲尼克斯太阳,-7.5,输

犹他爵士,洛杉矶湖人,-14.5,输

印第安纳步行者,萨克拉门托国王,-4.5,输

费城76人,休斯顿火箭,7.5,赢

多伦多猛龙,密尔沃基雄鹿,-3.5,赢

波士顿凯尔特人,奥兰多魔术,-7.5,赢

克里夫兰骑士,布鲁克林篮网队,-14.5,输

纽约尼克斯,夏洛特黄蜂,1.5,赢

芝加哥公牛,迈阿密热火,-7.5,输

亚特兰大老鹰,华盛顿奇才,-4.5,输

新奥尔良鹈鹕,圣安东尼奥马刺,7.5,赢

波特兰开拓者,孟菲斯灰熊,-2.5,赢

夏洛特黄蜂,萨克拉门托国王,-6.5,输

迈阿密热火,底特律活塞,3.5,赢

密尔沃基雄鹿,波士顿凯尔特人,-3.5,输

金州勇士,洛杉矶快船,-13.5,赢

菲尼克斯太阳,丹佛掘金,-4.5,输

明尼苏达森林狼,布鲁克林篮网队,-12.5,赢

犹他爵士,孟菲斯灰熊,-8.5,输

亚特兰大老鹰,纽约尼克斯,-6.5,输

克里夫兰骑士,俄克拉荷马雷霆,-6.5,赢

多伦多猛龙,奥兰多魔术,-11.5,输

新奥尔良鹈鹕,华盛顿奇才,1.5,输

印第安纳步行者,休斯顿火箭,4.5,赢

圣安东尼奥马刺,达拉斯独行侠,-12.5,输

芝加哥公牛,费城76人,-5.5,赢

波特兰开拓者,金州勇士,6.5,赢

费城76人,萨克拉门托国王,5.5,赢

迈阿密热火,布鲁克林篮网队,-9.5,输

明尼苏达森林狼,奥兰多魔术,-8.5,输

达拉斯独行侠,克里夫兰骑士,3.5,赢

菲尼克斯太阳,孟菲斯灰熊,5.0,输

华盛顿奇才,纽约尼克斯,-8.5,赢

多伦多猛龙,新奥尔良鹈鹕,-8.5,输

休斯顿火箭,萨克拉门托国王,-11.5,赢

圣安东尼奥马刺,俄克拉荷马雷霆,-10.5,赢

波特兰开拓者,夏洛特黄蜂,-4.5,赢

洛杉矶湖人,丹佛掘金,2.5,赢

克里夫兰骑士,明尼苏达森林狼,-7.5,赢

奥兰多魔术,印第安纳步行者,3.5,输

布鲁克林篮网队,纽约尼克斯,1.5,输

波士顿凯尔特人,多伦多猛龙,-5.5,输

迈阿密热火,亚特兰大老鹰,-2.5,赢

底特律活塞,新奥尔良鹈鹕,-6.5,赢

达拉斯独行侠,费城76人,-5.5,赢

犹他爵士,密尔沃基雄鹿,-7.5,赢

菲尼克斯太阳,洛杉矶快船,3.5,输

丹佛掘金,孟菲斯灰熊,4.5,输

俄克拉荷马雷霆,芝加哥公牛,-4.5,输

金州勇士,夏洛特黄蜂,-17.5,输

华盛顿奇才,洛杉矶湖人,-10.5,输

休斯顿火箭,亚特兰大老鹰,-8.5,输

圣安东尼奥马刺,费城76人,-14.5,赢

洛杉矶快船,金州勇士,8.5,输

奥兰多魔术,多伦多猛龙,5.5,赢

布鲁克林篮网队,印第安纳步行者,7.5,输

底特律活塞,明尼苏达森林狼,-3.5,赢

波士顿凯尔特人,洛杉矶湖人,-13.5,输

休斯顿火箭,芝加哥公牛,-5.5,输

俄克拉荷马雷霆,孟菲斯灰熊,2.5,赢

丹佛掘金,密尔沃基雄鹿,-4.5,输

萨克拉门托国王,菲尼克斯太阳,-4.5,输

波特兰开拓者,达拉斯独行侠,-4.5,输

华盛顿奇才,新奥尔良鹈鹕,-7.5,赢

亚特兰大老鹰,奥兰多魔术,-8.5,赢

印第安纳步行者,底特律活塞,-4.5,赢

迈阿密热火,费城76人,-7.5,赢

纽约尼克斯,克里夫兰骑士,5.5,输

犹他爵士,夏洛特黄蜂,-9.5,输

菲尼克斯太阳,密尔沃基雄鹿,2.5,输

圣安东尼奥马刺,丹佛掘金,-13.5,赢

明尼苏达森林狼,孟菲斯灰熊,-3.5,输

萨克拉门托国王,金州勇士,15.5,赢

布鲁克林篮网队,多伦多猛龙,6.5,输

波士顿凯尔特人,洛杉矶快船,-5.5,输

俄克拉荷马雷霆,波特兰开拓者,-6.5,输

印第安纳步行者,俄克拉荷马雷霆,-3.5,输

华盛顿奇才,克里夫兰骑士,2.5,输

纽约尼克斯,洛杉矶湖人,-6.5,输

底特律活塞,费城76人,-9.5,赢

亚特兰大老鹰,犹他爵士,-2.5,输

多伦多猛龙,洛杉矶快船,-6.5,赢

新奥尔良鹈鹕,菲尼克斯太阳,-4.5,赢

明尼苏达森林狼,迈阿密热火,-1.5,输

丹佛掘金,达拉斯独行侠,-3.5,赢

孟菲斯灰熊,圣安东尼奥马刺,-1.5,赢

萨克拉门托国王,芝加哥公牛,-5.5,输

夏洛特黄蜂,布鲁克林篮网队,-11.5,输

休斯顿火箭,奥兰多魔术,-10.5,赢

达拉斯独行侠,波特兰开拓者,3.5,赢

印第安纳步行者,克里夫兰骑士,4.5,输

费城76人,圣安东尼奥马刺,9.5,赢

底特律活塞,洛杉矶湖人,-7.5,赢

布鲁克林篮网队,华盛顿奇才,9.5,赢

亚特兰大老鹰,丹佛掘金,-3.5,赢

孟菲斯灰熊,菲尼克斯太阳,-8.5,赢

新奥尔良鹈鹕,犹他爵士,3.5,输

纽约尼克斯,洛杉矶快船,2.5,输

密尔沃基雄鹿,迈阿密热火,-2.5,输

明尼苏达森林狼,多伦多猛龙,4.5,赢

金州勇士,芝加哥公牛,-19.5,赢

萨克拉门托国王,波士顿凯尔特人,9.5,赢

奥兰多魔术,费城76人,-4.5,输

夏洛特黄蜂,休斯顿火箭,4.5,输

俄克拉荷马雷霆,克里夫兰骑士,-2.5,赢

达拉斯独行侠,犹他爵士,2.5,赢

波特兰开拓者,波士顿凯尔特人,-4.5,输

布鲁克林篮网队,迈阿密热火,6.5,输

纽约尼克斯,丹佛掘金,-3.5,输

底特律活塞,圣安东尼奥马刺,4.5,输

孟菲斯灰熊,金州勇士,7.5,输

明尼苏达森林狼,新奥尔良鹈鹕,-3.5,输

华盛顿奇才,印第安纳步行者,-4.5,赢

密尔沃基雄鹿,洛杉矶湖人,-6.5,输

菲尼克斯太阳,芝加哥公牛,4.5,赢

萨克拉门托国王,亚特兰大老鹰,3.5,赢

夏洛特黄蜂,洛杉矶快船,-2.5,输

印第安纳步行者,密尔沃基雄鹿,-7.5,输

克里夫兰骑士,丹佛掘金,-12.5,赢

费城76人,迈阿密热火,3.5,赢

俄克拉荷马雷霆,金州勇士,6.5,输

休斯顿火箭,菲尼克斯太阳,-17.5,赢

达拉斯独行侠,奥兰多魔术,-7.5,赢

犹他爵士,波士顿凯尔特人,-7.5,输

明尼苏达森林狼,芝加哥公牛,-7.5,赢

纽约尼克斯,圣安东尼奥马刺,9.5,赢

多伦多猛龙,底特律活塞,-7.5,输

萨克拉门托国王,新奥尔良鹈鹕,-3.5,赢

夏洛特黄蜂,费城76人,-7.5,输

